technique_id,name,weight,source,covering_subs_count,covering_subs,residual_priority
T1021.001,Remote Services — Remote Desktop Protocol,0.06,DBIR 2026 p.40 — Desktop sharing software growing as attack vector,24,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-03;DE.CM-06;DE.CM-09;GV.SC-10;ID.AM-01;ID.AM-02;ID.AM-03;ID.AM-04;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-08;PR.AA-01;PR.AA-03;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01,0.0024
T1566.001,Phishing — Spearphishing Attachment,0.05,DBIR 2026 p.97 — distributed share of Phishing 9% initial access,21,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;ID.AM-03;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;PR.AA-01;PR.AA-03;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01;PR.PS-02,0.0023
T1071.001,Application Layer Protocol — Web Protocols,0.04,DBIR 2026 p.41 — C2 frameworks common in System Intrusion breaches,18,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;ID.AM-03;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01,0.0021
T1105,Ingress Tool Transfer,0.04,DBIR 2026 p.40 — Malware/software deployment part of System Intrusion pattern,18,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;ID.AM-03;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01,0.0021
T1059.001,Command and Scripting Interpreter — PowerShell,0.05,DBIR 2026 p.40 — System Intrusion pattern (60% of all breaches) involves post-compromise scripting,24,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-03;DE.CM-06;DE.CM-09;GV.SC-10;ID.AM-01;ID.AM-02;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-08;ID.RA-09;PR.AA-01;PR.AA-03;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01;PR.PS-02,0.002
T1059.003,Command and Scripting Interpreter — Windows Command Shell,0.04,DBIR 2026 p.40 — System Intrusion pattern includes post-compromise shell activity,19,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-03;DE.CM-06;DE.CM-09;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-09;PR.AA-01;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01;PR.PS-02,0.002
T1098,Account Manipulation,0.04,DBIR 2026 p.97 — Credentials data compromised in 31% of SMB breaches,19,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-03;DE.CM-06;DE.CM-09;ID.AM-03;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;PR.AA-01;PR.AA-03;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01,0.002
T1189,Drive-by Compromise,0.05,DBIR 2026 p.97 — Basic Web Application Attacks is a top-3 SMB pattern,25,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;ID.AM-01;ID.AM-02;ID.AM-03;ID.AM-08;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;ID.RA-09;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.IR-03;PR.PS-01;PR.PS-02,0.0019
T1566.002,Phishing — Spearphishing Link,0.04,DBIR 2026 p.97 — distributed share of Phishing 9% initial access,20,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;ID.AM-03;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;PR.AA-01;PR.AA-03;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01,0.0019
T1204.002,User Execution — Malicious File,0.04,DBIR 2026 p.97 — 45% of SMB breaches involve human element; user-execution follows phishing chain,20,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;ID.AM-03;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;ID.RA-09;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01;PR.PS-02,0.0019
T1003,OS Credential Dumping,0.05,DBIR 2026 p.40 — 'Password dumper' explicitly cited among System Intrusion techniques,28,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;ID.AM-03;ID.AM-07;ID.AM-08;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;ID.RA-09;PR.AA-01;PR.AA-03;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.DS-11;PR.IR-01;PR.IR-03;PR.PS-01;PR.PS-02;RC.RP-03,0.0017
T1046,Network Service Discovery (scan network),0.04,DBIR 2026 p.40 — 'Scan network' cited as common lateral-movement technique in System Intrusion,22,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;GV.SC-10;ID.AM-01;ID.AM-02;ID.AM-03;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;ID.RA-08;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01,0.0017
T1552,Unsecured Credentials,0.05,DBIR 2026 p.97 — Basic Web Application Attacks pattern includes credential harvesting,30,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;GV.SC-10;ID.AM-02;ID.AM-03;ID.AM-04;ID.AM-07;ID.AM-08;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;ID.RA-08;ID.RA-09;PR.AA-01;PR.AA-03;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01;PR.PS-02;PR.PS-06,0.0016
T1053.005,Scheduled Task/Job — Scheduled Task,0.03,DBIR 2026 p.40 — persistence common in System Intrusion breaches,22,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-03;DE.CM-06;DE.CM-09;GV.SC-10;ID.AM-01;ID.AM-02;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-08;PR.AA-01;PR.AA-03;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01,0.0013
T1136.001,Create Account — Local Account,0.03,DBIR 2026 p.40 — persistence common in System Intrusion breaches,22,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-03;DE.CM-06;DE.CM-09;ID.AM-02;ID.AM-04;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-09;PR.AA-01;PR.AA-03;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01;PR.PS-02,0.0013
T1041,Exfiltration Over C2 Channel,0.04,DBIR 2026 p.97 — Internal data compromised in 97% of SMB breaches; exfiltration precedes disclosure,32,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;GV.OC-05;GV.SC-04;GV.SC-05;GV.SC-06;GV.SC-07;GV.SC-08;GV.SC-09;GV.SC-10;ID.AM-02;ID.AM-03;ID.AM-04;ID.AM-08;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;PR.AA-01;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.IR-03;PR.PS-06,0.0012
